# Time (s),Elevation (rad),eta_tot,eta_diff,eta_atm,eta_sys,Distance (m)
2.870000000000000000e+02,1.064833931794435806e-01,1.785801243427481894e-04,1.783189650987640484e-02,3.166909012994704731e-01,3.162277660168379134e-02,2.152133545967840124e+06
2.860000000000000000e+02,1.079225115276385566e-01,1.821202303513061698e-04,1.794619117822074394e-02,3.209119585238661143e-01,3.162277660168379134e-02,2.145213115675922483e+06
2.850000000000000000e+02,1.093674087952971608e-01,1.857116463042084999e-04,1.806156703328424748e-02,3.251499658134052728e-01,3.162277660168379134e-02,2.138293766504429281e+06
2.840000000000000000e+02,1.108181403452782599e-01,1.893552238780641913e-04,1.817803733364331542e-02,3.294050855520890275e-01,3.162277660168379134e-02,2.131375517281701323e+06
2.830000000000000000e+02,1.122747622304712811e-01,1.930518310527029645e-04,1.829561553458635206e-02,3.336774821478371011e-01,3.162277660168379134e-02,2.124458387051429134e+06
2.820000000000000000e+02,1.137373312042531531e-01,1.968023524650344713e-04,1.841431529147835588e-02,3.379673220631589925e-01,3.162277660168379134e-02,2.117542395076061599e+06
2.810000000000000000e+02,1.152059047311213696e-01,2.006076897714383978e-04,1.853415046318900375e-02,3.422747738463416400e-01,3.162277660168379134e-02,2.110627560840279795e+06
2.800000000000000000e+02,1.166805409975202878e-01,2.044687620189379346e-04,1.865513511558583928e-02,3.466000081632038543e-01,3.162277660168379134e-02,2.103713904054531828e+06
2.790000000000000000e+02,1.181612989228567612e-01,2.083865060253727204e-04,1.877728352509366525e-02,3.509431978294061949e-01,3.162277660168379134e-02,2.096801444658635883e+06
2.780000000000000000e+02,1.196482381707084236e-01,2.123618767688104894e-04,1.890061018232151030e-02,3.553045178433257845e-01,3.162277660168379134e-02,2.089890202825451735e+06
2.770000000000000000e+02,1.211414191602349505e-01,2.163958477864532943e-04,1.902512979575854413e-02,3.596841454195265353e-01,3.162277660168379134e-02,2.082980198964621406e+06
2.760000000000000000e+02,1.226409030777864673e-01,2.203906283772837148e-04,1.915085729554032515e-02,3.639191446485540715e-01,3.162277660168379134e-02,2.076071453726375941e+06
2.750000000000000000e+02,1.241467518887232335e-01,2.242240887702718949e-04,1.927780783728668540e-02,3.678109216434855000e-01,3.162277660168379134e-02,2.069163988005424151e+06
2.740000000000000000e+02,1.256590283494439797e-01,2.281135475076293245e-04,1.940599680601292135e-02,3.717193105182943769e-01,3.162277660168379134e-02,2.062257822944903746e+06
